,Player,start,end,ppg,apg,rpg,spg,bpg
27,Rick Adelman,1969,1975,7.75,3.48,2.44,0.94,0.08
28,Jeff Adrien,2011,2015,4.63,0.65,4.31,0.33,0.52
29,Arron Afflalo,2008,2018,10.76,1.82,2.86,0.45,0.19
30,Ochai Agbaji,2023,2023,6.09,0.72,1.81,0.26,0.15
31,Maurice Ager,2007,2011,2.06,0.23,0.56,0.07,0.07
32,Mark Aguirre,1982,1994,20,3.11,4.96,0.74,0.32
33,Blake Ahearn,2008,2012,4.63,1.16,1.16,0.37,0
34,Danny Ainge,1982,1995,11.48,4.03,2.66,1.09,0.13
35,Matt Aitch,1968,1968,5.6,0.4,3.56,0,0
36,Alexis Ajinca,2009,2017,5.3,0.49,3.92,0.35,0.62
37,Henry Akin,1967,1969,3.5,0.45,2.06,0,0
38,Josh Akognon,2013,2013,1.67,0.33,0.33,0,0
39,DeVaughn AkoonPurcell,2019,2019,1,0.86,0.57,0.29,0
40,Solomon Alabi,2011,2012,1.5,0.19,2.35,0.15,0.42
41,Mark Alarie,1987,1991,7.48,1.12,3.45,0.41,0.34
42,Gary Alcorn,1960,1961,3.35,0.31,4.22,0,0
43,Santi Aldama,2022,2023,7.48,1.05,4.01,0.45,0.56
44,Furkan Aldemir,2015,2015,2.27,0.68,4.29,0.41,0.39
45,Cole Aldrich,2011,2018,3.1,0.54,3.34,0.4,0.69
46,LaMarcus Aldridge,2007,2022,19.11,1.93,8.12,0.7,1.1
47,Chuck Aleksinas,1985,1985,5.09,0.49,3.65,0.2,0.2
48,Cliff Alexander,2016,2016,1.25,0,0.75,0.12,0.25
49,Cory Alexander,1996,2005,5.46,2.72,1.57,0.86,0.12
50,Courtney Alexander,2001,2003,9.04,1.21,2.19,0.59,0.1
51,Gary Alexander,1994,1994,1.73,0.18,1.36,0.27,0
52,Joe Alexander,2009,2010,4.21,0.66,1.79,0.24,0.45
53,Kyle Alexander,2020,2020,1,0,1.5,0,0
54,TyShon Alexander,2021,2021,0.6,0.4,0.67,0,0.07
55,Victor Alexander,1992,2002,8.89,0.9,4.84,0.47,0.62
56,Nickeil AlexanderWalker,2020,2023,8.62,2.15,2.44,0.68,0.35
57,Steve Alford,1988,1991,4.4,1.04,0.85,0.5,0.06
58,Rawle Alkins,2019,2019,3.7,1.3,2.6,0.1,0
59,Bill Allen,1968,1968,7.89,0.61,7.08,0,0
60,Bob Allen,1969,1969,1.78,0.37,2.07,0,0
61,Grayson Allen,2019,2023,9.74,1.7,2.75,0.62,0.18
62,Jarrett Allen,2018,2023,12,1.42,8.86,0.59,1.34
63,Jerome Allen,1996,1997,2.87,1.72,1.05,0.44,0.08
64,Kadeem Allen,2018,2020,5.49,2.32,1.51,0.51,0.17
65,Lavoy Allen,2012,2017,4.76,0.99,4.75,0.31,0.55
66,Lucius Allen,1970,1979,13.4,4.52,3.14,1.51,0.31
67,Malik Allen,2002,2011,4.88,0.48,2.83,0.27,0.46
68,Randy Allen,1989,1990,3.6,0.33,2.07,0.24,0.29
69,Ray Allen,1997,2014,18.85,3.35,4.06,1.12,0.19
70,Tony Allen,2005,2018,8.11,1.31,3.52,1.41,0.41
71,Willie Allen,1972,1972,1.86,0.57,2,0,0
72,Odis Allison,1972,1972,1.86,0.28,1.25,0,0
73,Lance Allred,2008,2008,1,0,0.33,0,0
74,Darrell Allums,1981,1981,2.68,1.14,2.95,0.23,0.36
75,Morris Almond,2008,2012,3.13,0.32,1.21,0.32,0.11
76,Derrick Alston,1995,1997,5.4,0.68,3.78,0.68,0.63
77,Rafer Alston,2000,2010,10.13,4.77,2.82,1.21,0.16
78,Peter Aluma,1999,1999,1,0,1,0.5,0.5
79,Jose Alvarado,2022,2023,7.65,2.94,2.1,1.2,0.15
80,John Amaechi,1996,2003,6.25,0.78,2.63,0.31,0.32
81,Ashraf Amaya,1996,1997,4.46,0.42,4.18,0.34,0.15
82,AlFarouq Aminu,2011,2021,7.52,1.24,6.02,0.95,0.56
83,Lou Amundson,2007,2016,3.65,0.44,3.6,0.36,0.71
84,Bob Anderegg,1960,1960,4.03,0.88,2.09,0,0
85,Chris Andersen,2002,2017,5.4,0.48,5.03,0.45,1.43
86,David Andersen,2010,2011,4.86,0.55,2.83,0.19,0.2
87,Alan Anderson,2006,2017,7.34,1.12,2.16,0.55,0.09
88,Andy Anderson,1968,1970,10.73,1.69,2.72,0,0
89,Antonio Anderson,2010,2010,2,0,1,0,0
90,Cliff Anderson,1968,1971,3.01,0.86,1.27,0,0
91,Dan Anderson,1968,1969,12.19,1.13,9.4,0,0
92,Dan Anderson,1975,1976,3.65,1.75,0.96,0.38,0.03
93,Derek Anderson,1998,2008,11.96,3.39,3.23,1.12,0.14
94,Dwight Anderson,1983,1983,4.2,0.6,0.4,0.2,0
95,Eric Anderson,1993,1994,1.56,0.19,1.15,0.11,0.07
96,Greg Anderson,1988,1998,7.28,0.57,6.24,0.71,0.87
97,JJ Anderson,1983,1985,4.78,0.7,2.8,0.68,0.25
98,James Anderson,2011,2016,5.76,1.18,2.27,0.49,0.22
99,Jerome Anderson,1976,1977,2.59,0.33,0.51,0.18,0.1
100,Justin Anderson,2016,2022,5.31,0.76,2.57,0.43,0.33
101,Kenny Anderson,1992,2005,12.57,6.06,3.08,1.47,0.13
102,Kim Anderson,1979,1979,3,0.71,2.14,0.19,0.24
103,Kyle Anderson,2015,2023,6.93,2.55,4.48,1.02,0.62
104,Michael Anderson,1989,1989,5.67,4.25,2.47,1.22,0.08
105,Nick Anderson,1990,2002,14.41,2.61,5.08,1.39,0.46
106,Richard Anderson,1983,1990,5.55,1.5,3.48,0.55,0.23
107,Ron Anderson,1985,1994,10.63,1.43,3.48,0.71,0.14
108,Ryan Anderson,2009,2020,12.33,0.9,5.26,0.51,0.33
109,Shandon Anderson,1997,2006,7.41,1.4,3.13,0.77,0.25
110,Willie Anderson,1989,1997,12.2,3.79,3.75,1.07,0.62
111,Wally Anderzunas,1970,1970,3.61,0.2,1.86,0,0
112,Martynas Andriuskevicius,2006,2006,0,0,0.67,0.33,0
113,Don Anielak,1955,1955,3,0,2,0,0
114,Ike Anigbogu,2018,2019,0.93,0.07,0.86,0.07,0.29
115,Michael Ansley,1990,1992,6.89,0.45,4.17,0.34,0.16
116,Chris Anstey,1998,2000,5.25,0.82,3.45,0.5,0.42
117,Giannis Antetokounmpo,2014,2023,22.57,4.67,9.57,1.13,1.26
118,Kostas Antetokounmpo,2019,2021,0.95,0.14,1.05,0.18,0.18
119,Thanasis Antetokounmpo,2016,2023,2.67,0.56,1.79,0.3,0.17
120,Carmelo Anthony,2004,2022,22.45,2.72,6.2,0.97,0.51
121,Cole Anthony,2021,2023,14.13,4.67,4.92,0.66,0.38
122,Greg Anthony,1992,2002,7.26,3.96,1.87,1.17,0.1
123,Joel Anthony,2008,2017,2.17,0.2,2.76,0.26,1.08
124,Pero Antic,2014,2015,6.27,0.95,3.52,0.33,0.23
125,OG Anunoby,2018,2023,11.44,1.5,4.29,1.24,0.5
126,Keith Appling,2016,2016,1.2,0.2,0.2,0.2,0
127,Rafael Araujo,2005,2007,2.8,0.29,2.84,0.37,0.12
128,Stacey Arceneaux,1962,1962,7.14,0.57,4.57,0,0
129,Robert Archibald,2003,2004,1.16,0.36,1.57,0.32,0.14
130,Tiny Archibald,1971,1984,18.81,7.39,2.34,1.13,0.13
131,Ryan Arcidiacono,2018,2023,4.39,2.01,1.89,0.51,0.03
132,Jim Ard,1971,1978,4.43,0.65,4.25,0.24,0.49
133,Gilbert Arenas,2002,2012,20.66,5.27,3.93,1.6,0.24
134,Trevor Ariza,2005,2022,10.37,2.13,4.79,1.46,0.32
135,Paul Arizin,1951,1962,22.81,2.34,8.6,0,0
136,Joe Arlauckas,1988,1988,3.78,0.89,1.44,0.33,0.44
137,BJ Armstrong,1990,2000,9.8,3.32,1.77,0.71,0.06
138,Bob Armstrong,1957,1957,1.47,0.16,2.05,0,0
139,Brandon Armstrong,2002,2004,2.21,0.22,0.58,0.2,0.04
140,Curly Armstrong,1949,1951,6.8,2.34,2.34,0,0
141,Darrell Armstrong,1995,2008,9.18,4.04,2.7,1.35,0.12
142,Hilton Armstrong,2007,2014,3.01,0.35,2.62,0.31,0.49
143,Tate Armstrong,1978,1979,3.8,1.14,0.96,0.36,0
144,Jesse Arnelle,1956,1956,4.74,0.58,5.48,0,0
145,Jay Arnette,1964,1966,3.72,1.22,1.02,0,0
146,Bob Arnzen,1970,1974,3.99,0.32,1.95,0.15,0.1
147,Carlos Arroyo,2002,2011,6.63,3.09,1.7,0.51,0.05
148,Darrell Arthur,2009,2018,6.52,0.81,3.51,0.61,0.61
149,John Arthurs,1970,1970,3.18,1.55,1.27,0,0
150,Jamel Artis,2018,2018,5.13,1.2,2.53,0.13,0.2
151,Omer Asik,2011,2018,5.26,0.59,7.14,0.35,0.72
152,Vincent Askew,1988,1998,7.09,2.18,2.52,0.65,0.23
153,Keith Askins,1991,1999,3.81,0.77,2.94,0.57,0.35
154,Don Asmonga,1954,1954,0.71,0.71,0.14,0,0
155,Dick Atha,1956,1958,3.19,1.19,1.53,0,0
156,Chucky Atkins,2000,2010,9.86,3.44,1.7,0.67,0.05
157,Al Attles,1961,1971,8.9,3.49,3.46,0,0
158,Chet Aubuchon,1947,1947,2.17,0.67,0,0,0
159,Stacey Augmon,1992,2006,7.98,1.56,3.21,0.97,0.32
160,DJ Augustin,2009,2022,9.49,3.85,1.85,0.58,0.03
161,James Augustine,2007,2008,1.56,0.15,1.22,0.19,0.07
162,Isaac Austin,1992,2002,7.6,1.25,4.7,0.5,0.52
163,Johnny Austin,1967,1968,7.56,1.38,1.58,0,0
164,Ken Austin,1984,1984,1.71,0.14,0.43,0.14,0.14
165,Deni Avdija,2021,2023,7.89,1.98,5.45,0.72,0.42
166,Anthony Avent,1993,2000,5.56,0.79,4.5,0.47,0.6
167,Bird Averitt,1974,1978,12.11,2.95,1.86,0.89,0.15
168,William Avery,2000,2002,2.67,1.4,0.65,0.24,0.04
169,Dennis Awtrey,1971,1982,4.8,2,4.56,0.36,0.35
170,Joel Ayayi,2022,2022,0.29,0.57,0.43,0,0
171,Gustavo Ayon,2012,2014,4.7,1.28,4.36,0.74,0.54
172,Jeff Ayres,2010,2016,Error,Error,Error,Error,Error
173,Deandre Ayton,2019,2023,16.7,1.65,10.45,0.68,0.99
174,Kelenna Azubuike,2007,2012,10.47,1.11,3.99,0.62,0.5
175,Udoka Azubuike,2021,2023,2.52,0.1,2.41,0.1,0.38
176,Chris Babb,2014,2014,1.57,0.21,1.21,0.43,0
177,Luke Babbitt,2011,2018,4.77,0.59,2.22,0.23,0.15
178,Milos Babic,1991,1992,1.76,0.48,0.95,0.1,0.05
179,Johnny Bach,1949,1949,3.5,0.74,0,0,0
180,Dwayne Bacon,2018,2021,7.26,1.11,2.59,0.46,0.07
181,Henry Bacon,1973,1973,3.53,0.81,1.74,0,0
182,Jim Baechtold,1953,1957,9.73,2.13,3.14,0,0
183,Dalibor Bagaric,2001,2003,2.64,0.39,2.51,0.31,0.45
184,John Bagley,1983,1994,8.72,5.98,2.6,1.14,0.08
185,Marvin Bagley III,2019,2023,13.21,0.88,7.26,0.48,0.68
186,Carl Bailey,1982,1982,2,0,0,0,0
187,Gus Bailey,1975,1980,2.65,1.14,1.66,0.38,0.29
188,James Bailey,1980,1988,8.82,0.82,5.02,0.51,0.88
189,Thurl Bailey,1984,1999,12.75,1.4,5.08,0.47,1.17
190,Toby Bailey,1999,2000,3.3,0.59,1.73,0.3,0.08
191,Cameron Bairstow,2015,2016,1.22,0.19,1,0.11,0.11
192,Jimmie Baker,1976,1976,1.2,0.8,2.8,0,0.6
193,Mark Baker,1999,1999,0,0,0,0,0
194,Maurice Baker,2005,2005,0,0.2,0.4,0.2,0
195,Norm Baker,1947,1947,0,0,0,0,0
196,Ron Baker,2017,2019,3.12,1.76,1.45,0.69,0.16
197,Vin Baker,1994,2006,14.97,1.91,7.42,0.74,1.01
198,Patrick Baldwin Jr,2023,2023,4.38,0.27,1.38,0.23,0.15
199,Wade Baldwin,2017,2019,3.11,1.39,1.23,0.38,0.18
200,Renaldo Balkman,2007,2012,4.05,0.6,3.48,0.74,0.47
201,Cedric Ball,1991,1991,1.14,0,1.57,0,0.29
202,LaMelo Ball,2021,2023,19.44,7.33,6.38,1.52,0.36
203,Lonzo Ball,2018,2022,11.88,6.2,5.74,1.55,0.64
204,Greg Ballard,1978,1989,12.41,2.16,6.06,1.09,0.32
205,Herschel Baltimore,1947,1947,2.38,0.28,0,0,0
206,Mo Bamba,2019,2023,7.58,0.9,5.84,0.37,1.35
207,Paolo Banchero,2023,2023,19.97,3.62,6.64,0.88,0.52
208,Desmond Bane,2021,2023,15.76,2.77,4.1,0.93,0.33
209,Gene Banks,1982,1987,11.34,2.85,5.81,0.93,0.22
210,Marcus Banks,2004,2011,5.92,2.09,1.49,0.76,0.16
211,Walker Banks,1971,1971,2.56,0.5,3.06,0,0
212,Ken Bannister,1985,1991,5.93,0.44,3.53,0.43,0.32
213,Mike Bantom,1974,1982,12.14,2.3,6.4,0.89,0.68
214,Dalano Banton,2022,2023,3.57,1.41,1.76,0.45,0.24
215,Cat Barber,2022,2022,0,1,1,0,0
216,John Barber,1957,1957,1.4,0,1.2,0,0
217,Leandro Barbosa,2004,2017,10.63,2.09,2.02,0.82,0.14
218,Steve Bardo,1992,1996,2.21,1.33,1.82,0.36,0.12
219,JJ Barea,2007,2020,8.92,3.94,2.1,0.4,0.03
220,Andrea Bargnani,2007,2016,14.31,1.19,4.62,0.38,0.85
221,Cliff Barker,1950,1952,3.74,1.97,1.81,0,0
222,Tom Barker,1977,1979,6.52,0.77,5.31,0.44,0.53
223,Charles Barkley,1985,2000,22.14,3.93,11.69,1.54,0.83
224,Erick Barkley,2001,2002,2.85,1.48,0.78,0.7,0.04
225,Don Barksdale,1952,1955,11.05,2.1,7.97,0,0
226,Dominick Barlow,2023,2023,3.18,0.59,2.71,0.29,0.41
227,Harrison Barnes,2013,2023,14.22,1.82,5.07,0.7,0.19
228,Harry Barnes,1969,1969,1.95,0.23,1.18,0,0
229,Jim Barnes,1965,1971,8.8,0.83,6.47,0,0
230,Marvin Barnes,1975,1980,15.98,2.07,9.12,1.16,1.39
231,Matt Barnes,2004,2017,8.17,1.82,4.61,0.77,0.48
232,Scottie Barnes,2022,2023,15.48,4.09,7.24,1.04,0.78
233,Dick Barnett,1960,1974,15.82,2.81,2.9,0.2,0
234,Jim Barnett,1967,1977,11.66,3.05,3.09,0.55,0.13
235,Nate Barnett,1976,1976,2.25,0.67,0.67,0.25,0.08
236,John Barnhill,1963,1972,8.63,2.87,2.55,0,0
237,Norton Barnhill,1977,1977,1,0.25,0.75,0,0
238,Leo Barnhorst,1950,1954,9.4,3.24,5.44,0,0
239,John Barr,1947,1947,5.09,0.93,0,0,0
240,Mike Barr,1973,1977,5.88,2.8,2.06,0.92,0.19
241,Moe Barr,1971,1971,1.97,0.9,0.65,0,0
242,Andre Barrett,2005,2008,3.27,2.01,1.06,0.43,0.01
243,Ernie Barrett,1954,1956,4.89,1.75,2.62,0,0
244,Mike Barrett,1970,1973,13.37,3.9,3.17,0,0
245,RJ Barrett,2020,2023,18.1,2.83,5.46,0.68,0.25
246,Earl Barron,2006,2015,4.57,0.45,3.51,0.33,0.21
247,Dana Barros,1990,2004,10.47,3.34,1.89,0.87,0.05
248,Brent Barry,1996,2009,9.31,3.17,3.05,1.05,0.28
249,Drew Barry,1998,2000,2.23,1.85,1.12,0.32,0.03
250,Jon Barry,1993,2006,5.74,2.17,1.84,0.88,0.14
251,Rick Barry,1966,1980,24.78,4.85,6.73,1.99,0.49
252,Ed Bartels,1950,1951,4.22,1,4.94,0,0
253,Vic Bartolome,1972,1972,0.89,0.08,1.58,0,0
254,Will Barton,2013,2023,11.28,2.69,4.14,0.74,0.4
255,Eddie Basden,2006,2006,2.05,0.42,1.47,0.47,0.11
256,Jerry Baskerville,1976,1976,1.24,0.14,1.33,0.29,0.24
257,Brandon Bass,2006,2017,8.67,0.8,4.55,0.39,0.63
258,Paris Bass,2022,2022,3,0,2,0.5,0
259,Tim Bassett,1974,1980,6.2,1.22,6.66,0.76,0.48
260,Charles Bassey,2022,2023,4.62,0.95,4.4,0.36,0.86
261,Maceo Baston,2003,2009,2.72,0.25,1.67,0.23,0.41
262,Mengke Bateer,2002,2004,3.39,0.59,2.48,0.24,0.11
263,Billy Ray Bates,1980,1983,11.75,1.88,1.67,0.81,0.09
264,Keita BatesDiop,2019,2023,6.11,0.82,3.13,0.52,0.33
265,Esteban Batista,2006,2007,1.73,0.16,2.49,0.26,0.16
266,Mike Batiste,2003,2003,6.41,0.69,3.43,0.56,0.21
267,Tony Battie,1998,2012,6.07,0.62,5.12,0.5,0.85
268,Shane Battier,2002,2014,8.61,1.76,4.18,1.01,0.93
269,John Battle,1986,1995,8.72,2.05,1.35,0.45,0.07
270,Kenny Battle,1990,1993,4.68,0.79,2.44,0.73,0.23
271,Dave Batton,1983,1984,3.24,0.55,2.12,0.26,0.28
272,Lloyd Batts,1975,1975,10.31,1.83,3.4,1.26,0.1
273,Nicolas Batum,2009,2023,10.74,3.37,5.07,0.93,0.63
274,Johnny Baum,1970,1974,6.14,0.58,2.73,0.6,0.27
275,Frankie Baumholtz,1947,1947,14.02,1.2,0,0,0
276,Lonny Baxter,2003,2006,3.93,0.25,2.94,0.23,0.36
277,Jerryd Bayless,2009,2019,8.38,2.86,2.11,0.63,0.12
278,Elgin Baylor,1959,1972,27.36,4.31,13.55,0,0
279,Howard Bayne,1968,1968,4.9,1.03,6.61,0,0
280,Aron Baynes,2013,2021,5.97,0.81,4.59,0.23,0.49
281,Sergei Bazarevich,1995,1995,3,1.4,0.7,0.1,0.1
282,Kent Bazemore,2013,2022,8.24,1.76,3.15,1,0.47
283,Darius Bazley,2020,2023,9.16,1.22,5.41,0.58,0.74
284,Ed Beach,1951,1951,1.83,0.25,2.08,0,0
285,Bradley Beal,2013,2023,22.15,4.27,4.08,1.11,0.41
286,Al Beard,1968,1968,2.5,0,3.83,0,0
287,Butch Beard,1970,1979,9.29,3.62,3.38,1.27,0.09
288,Ralph Beard,1950,1951,15.92,4.37,3.8,0,0
289,Charlie Beasley,1968,1971,9.37,3.06,2.51,0,0
290,Jerome Beasley,2004,2004,1,0,0.5,0,0
291,John Beasley,1968,1974,13.65,1.19,8.41,0.16,0.23
292,Malik Beasley,2017,2023,10.86,1.31,2.65,0.61,0.13
293,Michael Beasley,2009,2019,12.43,1.29,4.7,0.57,0.52
294,Zelmo Beaty,1963,1975,17.11,1.54,10.87,0.73,0.75
295,Rodrigue Beaubois,2010,2013,7.07,2.05,1.86,0.68,0.29
296,MarJon Beauchamp,2023,2023,5.21,0.62,2.19,0.43,0.1
297,Byron Beck,1968,1977,11.52,1.31,7.04,0.57,0.14
298,Corey Beck,1996,1999,2.74,1.4,1.42,0.49,0.1
299,Ernie Beck,1954,1961,6.27,1.8,3.21,0,0
300,Art Becker,1968,1973,12.46,0.99,6.29,0,0
301,Moe Becker,1947,1947,3.77,0.7,0,0,0
302,Bob Bedell,1968,1971,8.39,1.19,5.15,0,0
303,William Bedford,1987,1993,4.05,0.46,2.41,0.16,0.53
304,Hank Beenders,1947,1949,8.42,0.48,0,0,0
305,Ron Behagen,1974,1980,10.25,1.61,6.99,0.75,0.41
306,Elmer Behnke,1952,1952,4,1,4.25,0,0
307,Marco Belinelli,2008,2020,9.73,1.66,2.06,0.57,0.08
308,Charlie Bell,2002,2011,8.52,2.28,2.16,0.81,0.08
309,Dennis Bell,1974,1976,2.78,0.44,1.89,0.44,0.16
310,Jordan Bell,2018,2022,3.68,1.25,3.09,0.39,0.76
311,Raja Bell,2001,2012,9.91,1.71,2.79,0.69,0.18
312,Troy Bell,2004,2004,1.83,0.67,0.67,0.17,0
313,Whitey Bell,1960,1961,5.08,1.56,2.61,0,0
314,Walt Bellamy,1962,1975,20.08,2.44,13.65,0.67,0.62
315,DeAndre' Bembry,2017,2022,5.91,1.8,3.21,0.98,0.41
316,Irv Bemoras,1954,1957,6.31,0.95,2.6,0,0
317,Leon Benbow,1975,1976,5.46,1.59,1.86,0.63,0.15
318,Dragan Bender,2017,2020,5.42,1.27,3.85,0.29,0.57
319,Jonathan Bender,2000,2010,5.55,0.65,2.22,0.16,0.65
320,Jerrelle Benimon,2015,2015,0,0,1.5,0,0
321,Benoit Benjamin,1986,2000,11.43,1.33,7.51,0.65,1.96
322,Corey Benjamin,1999,2003,5.46,0.93,1.69,0.46,0.31
323,Anthony Bennett,2014,2017,4.36,0.51,3.13,0.38,0.18
324,Elmer Bennett,1995,1997,2.29,1.05,0.48,0.43,0.05
325,Mario Bennett,1996,2000,3.96,0.35,2.68,0.46,0.32
326,Mel Bennett,1976,1982,6.87,1,4.67,0.63,0.48
327,Spider Bennett,1969,1969,7.46,1.42,2.49,0,0
328,Tony Bennett,1993,1995,3.54,1.99,1.02,0.45,0.01
329,Winston Bennett,1990,1992,4.76,0.88,3.04,0.37,0.15
330,David Benoit,1992,2001,7.02,0.58,4.03,0.44,0.5
331,Keith Benson,2012,2012,0,0,1,0,0
332,Kent Benson,1978,1988,9.07,1.77,5.71,0.89,0.86
333,Ben Bentil,2017,2017,0,0,0.67,0,0
334,Gene Berce,1950,1950,3.33,0.67,0,0,0
335,Gary Bergen,1957,1957,1.33,0.17,1.33,0,0
336,Larry Bergh,1970,1970,6.05,0.9,4.25,0,0
337,Ricky Berry,1989,1989,11.03,1.25,3.08,0.58,0.34
338,Walter Berry,1987,1989,14.06,1.42,4.74,0.6,0.74
339,Dairis Bertans,2019,2019,2.83,0.83,0.75,0.08,0
340,Davis Bertans,2017,2023,7.82,0.96,2.55,0.42,0.36
341,Del Beshore,1979,1980,3.54,2.01,0.91,0.84,0.07
342,Travis Best,1996,2005,7.59,3.45,1.76,0.93,0.08
343,Patrick Beverley,2013,2023,8.61,3.44,4.21,1.12,0.52
344,Saddiq Bey,2021,2023,14.24,1.95,4.85,0.85,0.2
345,Tyler Bey,2021,2021,1,0.17,1.06,0,0.06
346,Sim Bhullar,2015,2015,0.67,0.33,0.33,0,0.33
347,Wes Bialosuknia,1968,1968,8.69,0.81,1.27,0,0
348,Al Bianchi,1957,1966,8.08,2.18,2.51,0,0
349,Hank Biasatti,1947,1947,1,0,0,0,0
350,Henry Bibby,1973,1981,8.56,3.35,2.34,0.9,0.05
351,Mike Bibby,1999,2012,14.68,5.51,3.1,1.17,0.15
352,Ed Biedenbach,1969,1969,0.57,0.43,0.29,0,0
353,Andris Biedrins,2005,2014,6.29,0.91,7.04,0.64,1.12
354,Don Bielke,1956,1956,2,0.14,1.29,0,0
355,Bob Bigelow,1976,1979,2.49,0.45,1.18,0.2,0.04
356,Lionel Billingy,1975,1975,8.54,1.07,6.09,0.87,0.22
357,Chauncey Billups,1998,2014,15.15,5.4,2.87,1.01,0.16
358,Dave Bing,1967,1978,20.34,5.99,3.8,1.25,0.23
359,Joe Binion,1987,1987,1.27,0.09,1.64,0.18,0.18
360,Khem Birch,2018,2023,4.97,0.97,4.4,0.48,0.55
361,Jabari Bird,2018,2018,3,0.62,1.46,0.23,0.08
362,Jerry Bird,1959,1959,2.27,0.36,1.09,0,0
363,Larry Bird,1980,1992,24.29,6.35,10,1.73,0.84
364,Otis Birdsong,1978,1989,18.02,3.25,2.98,1.23,0.21
365,Gale Bishop,1949,1949,8.34,1.64,0,0,0
366,Goga Bitadze,2020,2023,4.81,0.8,2.9,0.29,0.86
367,Bismack Biyombo,2012,2023,5.07,0.62,5.93,0.26,1.29
368,Nemanja Bjelica,2016,2022,7.6,1.84,4.57,0.64,0.41
369,Uwe Blab,1986,1990,2.15,0.43,1.76,0.08,0.36
370,Charlie Black,1949,1952,9.15,2.29,2.38,0,0
371,Norman Black,1981,1981,2.67,0.67,0.67,0.33,0
372,Tarik Black,2015,2018,4.89,0.5,4.69,0.38,0.53
373,Tom Black,1971,1971,4.21,0.62,3.65,0,0
374,Rolando Blackman,1982,1994,17.98,3.04,3.34,0.73,0.28
375,Alex Blackwell,1993,1993,1.26,0.26,0.85,0.15,0.07
376,Cory Blackwell,1985,1985,3.37,0.43,1.6,0.42,0.05
377,James Blackwell,1995,1995,1.38,0.85,0.85,0.31,0
378,Nate Blackwell,1988,1988,3.7,1.8,0.6,0.3,0
379,DeJuan Blair,2010,2016,6.76,0.82,5.08,0.75,0.3
380,Steve Blake,2004,2016,6.51,3.96,2.09,0.67,0.07
381,Antonio Blakeney,2018,2019,7.49,0.82,1.83,0.25,0.13
382,Will Blalock,2007,2007,1.79,1.21,1.07,0.36,0
383,George Blaney,1962,1962,3.25,1.25,1,0,0
384,Lance Blanks,1991,1993,2.04,0.82,0.77,0.27,0.06
385,Ricky Blanton,1993,1993,3,0.5,1.5,1,0
386,Andray Blatche,2006,2014,10.12,1.41,5.36,0.87,0.81
387,Mookie Blaylock,1990,2002,13.46,6.72,4.12,2.33,0.34
388,Eric Bledsoe,2011,2022,13.69,4.69,3.88,1.36,0.46
389,Keljin Blevins,2021,2022,2.23,0.48,1.15,0.31,0.02
390,Leon Blevins,1951,1951,1,0.5,1,0,0
391,John Block,1967,1976,11.9,1.35,6.64,0.8,0.49
392,Mike Bloom,1948,1949,6.82,0.75,0,0,0
393,Jaron Blossomgame,2019,2019,4.22,0.48,3.63,0.26,0.3
394,Corie Blount,1994,2004,3.55,0.71,4.18,0.51,0.41
395,Mark Blount,2001,2009,8.17,0.85,4.6,0.54,0.84
396,Vander Blue,2014,2018,3,1.2,1.3,0.4,0
397,Ray Blume,1982,1982,4.61,1.39,0.84,0.47,0.04
398,Nelson Bobb,1950,1953,4.63,2.15,2.38,0,0
